Identifier,Angle_degree,Distance_from_ChNPP_km,Date_gamma_measurement ,Exposure_Dose_rate_mR/h,Absorbed_dose_rate_microGray/h,Zr-95_Bqm2,"SZR-95, relative error",Nb-95_Bqm2,"SNB-95, relative error",Ru-106_Bqm2,"SRU-106, relative error",Cs-134_Bqm2,"SCS-134, relative error",Cs-137_Bqm2,"SCS-137, relative error",Ce-144_Bq/m3,"SCe-144, relative error",Cs134 + Cs137 Bq/m2,Total Cs - exchangeable form bq/m2,Exch_Cs-134+Cs-137_Bqm2,x,y,INI X,INI Y
360,240,60,5/6/1987,0.14,1.2,,,,,,,3.33E+04,0.04,8.14E+04,0.02,0.00E+00,,1.15E+05,1.05E+05,9.25E+03,70.84687833,86.7317093,,
361,250,5,2/6/1987,7.5,65.5,,,7.96E+05,0.07,,,,,1.12E+06,0.07,8.14E+06,0.07,1.12E+06,9.32E+05,1.85E+05,52.50494153,25.1523599,,
362,250,6,2/6/1987,9,78.6,1.61E+06,0.07,,,9.03E+06,0.06,5.18E+05,0.18,3.31E+06,0.03,3.29E+07,0.03,3.83E+06,3.81E+06,1.48E+04,52.74592983,24.18183188,,
363,250,7,2/6/1987,7,61.1,,,9.84E+05,0.07,,,6.85E+05,0.03,1.45E+06,0.06,6.14E+06,0.09,2.13E+06,1.66E+06,4.77E+05,52.98691814,23.21130386,,
364,250,8.3,2/6/1987,1.2,10.5,9.47E+05,0.06,2.02E+06,0.02,4.92E+06,0.05,1.12E+06,0.03,2.61E+06,0.02,1.88E+07,0.02,3.73E+06,3.52E+06,2.11E+05,53.30020293,21.94961744,,
365,250,10,5/6/1987,5,43.7,9.07E+05,0.09,1.95E+06,0.03,6.81E+06,0.07,1.65E+06,0.04,4.26E+06,0.02,2.33E+07,0.03,5.90E+06,4.65E+06,1.25E+06,53.70988305,20.2997198,,
366,250,12,5/6/1987,0.75,6.5,1.07E+05,0.04,2.52E+05,0.01,6.92E+05,0.03,1.22E+05,0.02,3.74E+05,0.01,2.40E+06,0.01,4.96E+05,4.37E+05,5.92E+04,54.19185966,18.35866377,,
367,250,14.7,,,,,,,,,,,,,,,,,,,54.84252809,15.73823811,,
368,250,17,5/6/1987,0.2,1.7,4.07E+04,0.08,7.40E+04,0.04,2.00E+05,0.07,4.81E+04,0.05,1.33E+05,0.03,8.07E+05,0.02,1.81E+05,1.64E+05,1.78E+04,55.39680119,13.50602367,,
369,250,20,5/6/1987,0.018,0.2,7.40E+04,0.11,1.81E+05,0.04,3.52E+05,0.11,1.11E+05,0.06,2.33E+05,0.04,1.51E+06,0.03,3.44E+05,3.26E+05,1.85E+04,56.11976611,10.59443961,,
370,250,25,4/6/1987,0.1,0.9,1.48E+04,0.13,3.33E+04,0.05,8.88E+04,0.12,3.33E+04,0.05,9.99E+04,0.03,4.14E+05,0.03,1.33E+05,9.99E+04,3.33E+04,57.32470763,5.741799511,,
371,250,30,,,,,,,,,,,,,,,,,,,58.52964916,0.889159414,,
372,250,37.5,5/6/1987,0.25,2.2,,,1.48E+04,0.06,8.51E+04,0.09,1.37E+05,0.02,3.48E+05,0.01,1.37E+05,0.06,4.85E+05,3.03E+05,1.81E+05,60.33706145,-6.389800733,,
373,250,45,5/6/1987,0.1,0.9,,,7.40E+03,0.12,,,2.96E+04,0.06,7.03E+04,0.03,3.70E+04,0.22,9.99E+04,8.14E+04,1.85E+04,62.14447374,-13.66876088,,
374,250,52.5,5/6/1987,,0,,,1.85E+03,0.18,,,1.11E+04,0.06,2.22E+04,0.04,2.22E+04,0.15,3.33E+04,1.11E+04,2.22E+04,63.95188603,-20.94772103,,
375,250,60,5/6/1987,0.02,0.2,,,,,,,5.92E+04,0.03,1.44E+05,0.02,2.22E+04,0.26,2.04E+05,2.02E+05,1.48E+03,65.75929832,-28.22668117,,
376,260,5,5/6/1987,26,227,2.46E+06,0.05,5.37E+06,0.02,1.50E+07,0.05,3.46E+06,0.03,9.69E+06,0.02,5.03E+06,0.02,1.32E+07,1.24E+07,7.62E+05,47.64902921,33.42119852,,
377,260,6,5/6/1987,12,104.8,1.07E+06,0.08,2.31E+06,0.03,6.88E+06,0.07,1.55E+06,0.05,4.22E+06,0.02,2.76E+07,0.03,5.77E+06,4.96E+06,8.10E+05,46.91883506,34.10443822,,
378,260,7,2/6/1987,6,52.4,1.01E+06,0.05,1.99E+06,0.02,5.92E+06,0.04,1.55E+06,0.02,4.07E+06,0.02,1.80E+07,0.02,5.62E+06,5.57E+06,4.44E+04,46.1886409,34.78767793,,
379,260,8.3,,,,,,,,,,,,,,,,,,,45.2393885,35.67588954,,
380,260,10,5/6/1987,3,26.2,1.04E+05,0.03,2.07E+05,0.01,4.22E+05,0.03,1.33E+05,0.02,3.89E+05,0.01,1.85E+06,0.01,5.22E+05,5.22E+05,,43.99805843,36.83739704,,
381,260,12,5/6/1987,,0,1.41E+05,0.08,3.66E+05,0.03,1.08E+06,0.06,,,2.96E+05,0.04,2.63E+06,0.03,2.96E+05,1.63E+05,1.33E+05,42.53767011,38.20387645,,
382,260,14.7,4/6/1987,0.75,6.5,1.26E+05,0.06,3.70E+05,0.02,7.59E+05,0.05,2.15E+05,0.03,6.62E+05,0.01,3.74E+06,0.01,8.77E+05,7.92E+05,8.51E+04,40.56614589,40.04862365,,
383,260,17,4/6/1987,1,8.7,5.18E+04,0.14,1.07E+05,0.06,2.44E+05,0.19,4.44E+04,0.16,1.81E+05,0.05,1.05E+06,0.05,2.26E+05,1.41E+05,8.51E+04,38.88669933,41.62007496,,
384,260,20,5/6/1987,0.4,3.5,5.92E+04,0.05,1.22E+05,0.02,2.52E+05,0.05,7.40E+04,0.03,2.07E+05,0.02,1.23E+06,0.01,2.81E+05,2.59E+05,2.22E+04,36.69611686,43.66979408,,
385,260,25,2/6/1987,0.3,2.6,5.92E+04,0.04,1.18E+05,0.02,4.14E+05,0.04,9.62E+04,0.02,2.41E+05,0.02,1.11E+06,0.01,3.37E+05,2.52E+05,8.51E+04,33.04514607,47.0859926,,
386,260,30,29/05/1987,0.2,1.7,9.62E+04,0.08,1.26E+05,0.04,,,8.14E+04,0.07,2.00E+05,0.05,1.07E+06,0.04,2.81E+05,2.00E+05,8.14E+04,29.39417529,50.50219111,,
387,260,37.5,5/6/1987,0.075,0.7,2.22E+04,0.07,4.07E+04,0.03,2.18E+05,0.05,5.92E+04,0.03,1.55E+05,0.02,5.22E+05,0.02,2.15E+05,1.89E+05,2.59E+04,23.91771911,55.62648889,,
388,260,45,5/6/1987,0.18,1.6,7.40E+03,0.13,1.48E+04,0.06,6.29E+04,0.1,7.40E+04,0.02,1.89E+05,0.02,1.74E+05,0.04,2.63E+05,2.18E+05,4.44E+04,18.44126293,60.75078667,,
389,260,52.5,5/6/1987,0.2,1.7,7.40E+03,0.12,1.48E+04,0.06,4.07E+04,0.13,5.92E+04,0.03,1.41E+05,0.02,1.33E+05,0.05,2.00E+05,1.81E+05,1.85E+04,12.96480675,65.87508445,,
390,260,60,5/6/1987,0.16,1.4,7.40E+03,0.18,1.85E+04,0.08,6.29E+04,0.15,7.03E+04,0.03,1.67E+05,0.02,1.74E+05,0.06,2.37E+05,2.26E+05,1.11E+04,7.488350571,70.99938223,,
391,270,5,2/6/1987,1.8,15.7,2.15E+05,0.03,5.55E+05,0.01,1.27E+06,0.03,2.70E+05,0.02,7.51E+05,0.01,5.33E+06,0.01,1.02E+06,9.32E+05,8.88E+04,56.22190975,29.12477027,,
392,270,6,2/6/1987,3,26.2,2.11E+05,0.03,4.77E+05,0.01,7.81E+05,0.03,1.33E+05,0.02,3.92E+05,0.01,4.14E+06,0.01,5.25E+05,4.29E+05,9.62E+04,57.2062917,28.94872432,,
393,270,7,2/6/1987,1,8.7,1.30E+05,0.03,2.85E+05,0.01,5.00E+05,0.04,1.85E+05,0.02,5.29E+05,,2.83E+06,0.01,7.14E+05,6.88E+05,2.59E+04,58.19067365,28.77267837,,
394,270,8.3,2/6/1987,1,8.7,1.11E+05,0.03,2.37E+05,0.02,1.20E+06,0.02,1.26E+05,0.02,3.55E+05,0.01,2.43E+06,0.01,4.81E+05,2.00E+05,2.81E+05,59.47037019,28.54381864,,
395,270,10,2/6/1987,0.4,3.5,5.18E+04,0.05,1.11E+05,0.02,2.11E+05,0.05,9.25E+04,0.02,2.66E+05,0.01,1.01E+06,0.02,3.59E+05,3.39E+05,1.96E+04,61.14381951,28.24454054,,
396,270,12,4/6/1987,0.75,6.5,1.55E+05,0.05,4.14E+05,0.02,1.24E+06,0.03,2.33E+05,0.02,6.70E+05,0.01,4.07E+06,0.01,9.03E+05,8.25E+05,7.77E+04,63.11258341,27.89244864,,
397,270,14.7,5/6/1987,1,8.7,1.15E+06,0.03,1.97E+06,0.01,5.88E+06,0.03,9.81E+05,0.02,3.30E+06,0.01,1.52E+07,0.01,4.28E+06,4.03E+06,2.48E+05,65.77041467,27.41712459,,
398,270,17,2/6/1987,0.7,6.1,1.89E+05,0.03,5.18E+05,0.01,8.14E+05,0.03,2.44E+05,0.02,6.99E+05,0.01,2.79E+06,0.01,9.44E+05,6.96E+05,2.48E+05,68.03449316,27.01221891,,
399,270,20,2/6/1987,2.5,21.8,1.26E+05,0.04,2.81E+05,0.01,6.36E+05,0.03,2.63E+05,0.02,7.59E+05,0.01,2.39E+06,0.01,1.02E+06,9.32E+05,8.88E+04,70.98763901,26.48408107,,
400,270,25,,,,,,,,,,,,,,,,,,,75.90954877,25.60385134,,
401,270,30,29/05/1987,0.46,4,1.22E+05,0.04,2.26E+05,0.02,4.63E+05,0.06,2.11E+05,0.02,5.33E+05,0.01,1.80E+06,0.02,7.44E+05,6.55E+05,8.88E+04,80.83145852,24.72362161,,
402,270,37.5,5/6/1987,0.14,1.2,,,4.81E+04,0.07,9.25E+04,0.23,7.77E+04,0.06,1.96E+05,0.03,3.89E+05,0.06,2.74E+05,1.85E+05,8.88E+04,88.21432315,23.40327701,,
403,270,45,5/6/1987,1,8.7,9.62E+04,0.04,1.92E+05,0.02,4.37E+05,0.04,1.26E+05,0.02,3.70E+05,0.01,1.75E+06,0.01,4.96E+05,3.26E+05,1.70E+05,95.59718778,22.08293241,,
404,270,52.5,5/6/1987,0.16,1.4,4.07E+04,0.12,5.18E+04,0.06,1.85E+05,0.12,5.55E+04,0.07,1.52E+05,0.04,4.70E+05,0.05,2.07E+05,1.92E+05,1.48E+04,102.9800524,20.76258781,,
405,270,60,5/6/1987,0.14,1.2,7.40E+03,0.14,1.85E+04,0.05,6.66E+04,0.09,2.22E+04,0.05,5.92E+04,0.03,1.70E+05,0.04,8.14E+04,6.55E+04,1.59E+04,110.362917,19.44224321,,
406,280,5,2/6/1987,1,8.7,1.07E+05,0.04,2.15E+05,0.02,5.18E+05,0.04,9.62E+04,0.03,2.55E+05,0.02,2.35E+06,0.01,3.52E+05,1.78E+05,1.74E+05,46.6913021,28.0659529,,
407,280,6,,,,,,,,,,,,,,,,,,,45.76956252,27.67814348,,
408,280,7,2/6/1987,0.75,6.5,1.30E+05,0.03,2.29E+05,0.01,5.11E+05,0.03,1.18E+05,0.02,3.66E+05,0.01,2.04E+06,0.01,4.85E+05,4.51E+05,3.33E+04,44.84782294,27.29033405,,
409,280,8.3,29/05/1987,1,8.7,2.44E+05,0.05,4.40E+05,0.02,1.24E+06,0.05,1.81E+05,0.05,5.88E+05,0.02,4.70E+06,0.02,7.70E+05,6.81E+05,8.88E+04,43.64956149,26.78618181,,
410,280,10,,,,,,,,,,,,,,,,,,,42.0826042,26.12690579,,
411,280,12,2/6/1987,0.5,4.4,4.44E+04,0.06,1.04E+05,0.02,3.92E+05,0.04,1.11E+05,0.02,2.96E+05,0.01,1.02E+06,0.02,4.07E+05,3.55E+05,5.18E+04,40.23912504,25.35128695,,
412,280,14.7,2/6/1987,0.4,3.5,5.55E+04,0.05,1.33E+05,0.02,2.78E+05,0.05,1.41E+05,0.02,3.96E+05,0.01,1.18E+06,0.02,5.37E+05,4.51E+05,8.51E+04,37.75042818,24.30420151,,
413,280,17,2/6/1987,0.35,3.1,4.81E+04,0.06,1.07E+05,0.02,7.88E+05,0.03,1.41E+05,0.02,3.52E+05,0.01,1.10E+06,0.02,4.92E+05,4.07E+05,8.51E+04,35.63042714,23.41223985,,
414,280,20,,,,,,,,,,,,,,,,,,,32.8652084,22.24881158,,
415,280,25,29/05/1987,0.2,1.7,7.40E+04,0.05,1.26E+05,0.02,1.18E+05,0.16,1.48E+05,0.02,3.55E+05,0.01,9.55E+05,0.02,5.03E+05,4.77E+05,2.59E+04,28.2565105,20.30976448,,
416,280,30,2/6/1987,0.18,1.6,1.11E+04,0.11,2.22E+04,0.05,6.66E+04,0.09,5.18E+04,0.03,1.33E+05,0.02,2.33E+05,0.03,1.85E+05,1.78E+05,7.40E+03,23.6478126,18.37071738,,
417,280,37.5,5/6/1987,0.1,0.9,1.48E+04,0.1,2.96E+04,0.04,8.14E+04,0.08,4.44E+04,0.03,1.15E+05,0.02,2.70E+05,0.03,1.59E+05,1.44E+05,1.48E+04,16.73476575,15.46214672,,
418,280,45,5/6/1987,0.05,0.4,1.11E+04,0.12,1.85E+04,0.05,6.29E+04,0.1,3.33E+04,0.04,7.77E+04,0.03,1.96E+05,0.04,1.11E+05,7.77E+04,3.33E+04,9.821718905,12.55357606,,
419,280,52.5,5/6/1987,0.025,0.2,,,3.70E+03,0.1,,,3.70E+03,0.08,1.48E+04,0.04,1.85E+04,0.14,1.85E+04,1.22E+04,6.29E+03,2.908672056,9.645005406,,
420,280,60,5/6/1987,0.1,0.9,,,7.40E+03,0.09,4.07E+04,0.11,4.44E+04,0.03,1.22E+05,0.02,8.88E+04,0.07,1.67E+05,1.59E+05,7.40E+03,-4.004374793,6.73643475,,
421,290,5,2/6/1987,3.5,30.6,4.63E+05,0.08,9.66E+05,0.03,2.26E+06,0.07,4.81E+05,0.05,1.30E+06,0.03,9.36E+06,0.03,1.78E+06,1.62E+06,1.59E+05,54.11214463,34.13922817,,
422,290,6,,,,,,,,,,,,,,,,,,,54.67457356,34.9660738,,
423,290,7,,,,,,,,,,,,,,,,,,,55.23700249,35.79291944,,
424,290,8.3,2/6/1987,0.8,7,1.85E+05,0.11,3.66E+05,0.05,1.15E+06,0.1,1.67E+05,0.1,6.36E+05,0.04,3.20E+06,0.05,8.03E+05,7.10E+05,9.25E+04,55.96816009,36.86781876,,
425,290,10,29/05/1987,0.8,7,2.07E+05,0.05,4.29E+05,0.02,1.01E+06,0.07,1.44E+05,0.06,6.07E+05,0.02,3.24E+06,0.02,7.51E+05,6.07E+05,1.44E+05,56.92428927,38.27345634,,
426,290,12,29/05/1987,0.3,2.6,8.88E+04,0.05,1.55E+05,0.02,3.07E+05,0.07,7.40E+04,0.04,1.74E+05,0.02,1.67E+06,0.02,2.48E+05,1.85E+05,6.29E+04,58.04914712,39.92714761,,
427,290,14.7,2/6/1987,0.16,1.4,6.29E+04,0.05,1.44E+05,0.02,4.33E+05,0.04,1.07E+05,0.02,2.85E+05,0.02,1.42E+06,0.01,3.92E+05,3.77E+05,1.48E+04,59.56770522,42.15963082,,
428,290,17,2/6/1987,0.5,4.4,2.96E+04,0.07,6.29E+04,0.03,2.37E+05,0.04,7.03E+04,0.03,1.78E+05,0.02,6.59E+05,0.02,2.48E+05,2.33E+05,1.48E+04,60.86129176,44.06137578,,
429,290,20,,,,,,,,,,,,,,,,,,,62.54857854,46.54191268,,
430,290,25,2/6/1987,0.18,1.6,1.85E+04,0.08,4.07E+04,0.04,9.25E+04,0.08,4.81E+04,0.03,1.30E+05,0.02,3.96E+05,0.03,1.78E+05,9.62E+04,8.14E+04,65.36072317,50.67614085,,
431,290,30,29/05/1987,0.13,1.1,,,4.07E+04,0.05,,,5.18E+04,0.05,9.99E+04,0.04,2.63E+05,0.07,1.52E+05,1.11E+05,4.07E+04,68.1728678,54.81036902,,
432,290,37.5,5/6/1987,0.14,1.2,1.11E+04,0.1,1.85E+04,0.05,5.92E+04,0.1,5.55E+04,0.03,1.37E+05,0.02,2.11E+05,0.04,1.92E+05,1.18E+05,7.40E+04,72.39108475,61.01171127,,
433,290,45,5/6/1987,0.8,7,,,7.40E+03,0.11,2.26E+05,0.07,3.63E+05,0.01,1.12E+06,0.01,9.25E+04,0.11,1.48E+06,1.25E+06,2.29E+05,76.6093017,67.21305353,,
434,290,52.5,5/6/1987,0.5,4.4,,,,,1.55E+05,0.07,2.70E+05,0.01,7.40E+05,0.01,6.29E+04,0.14,1.01E+06,7.29E+05,2.81E+05,80.82751866,73.41439578,,
435,290,60,5/6/1987,0.4,3.5,3.70E+03,0.22,1.11E+04,0.06,1.63E+05,0.06,1.78E+05,0.02,4.81E+05,0.01,7.40E+04,0.1,6.59E+05,6.22E+05,3.70E+04,85.04573561,79.61573804,,
436,300,5,2/6/1987,2.6,22.7,1.67E+05,0.04,5.40E+05,0.01,1.18E+06,0.03,2.37E+05,0.02,7.77E+05,0.01,5.51E+06,0.01,1.01E+06,9.12E+05,1.02E+05,51.1895169,25.0062208,,
437,300,6,2/6/1987,1.2,10.5,1.96E+05,0.1,3.66E+05,0.04,9.44E+05,0.09,2.07E+05,0.06,5.44E+05,0.04,4.00E+06,0.04,7.51E+05,5.99E+05,1.52E+05,51.16742028,24.00646496,,
438,300,7,2/6/1987,1,8.7,8.88E+04,0.04,2.04E+05,0.02,4.29E+05,0.04,9.25E+04,0.02,2.41E+05,0.02,1.86E+06,0.01,3.33E+05,2.15E+05,1.18E+05,51.14532367,23.00670912,,
439,300,8.3,29/05/1987,0.6,5.2,9.62E+04,0.13,4.37E+05,0.02,6.66E+05,0.09,2.89E+05,0.03,5.03E+05,0.02,5.74E+06,0.01,7.92E+05,7.36E+05,5.55E+04,51.11659806,21.70702653,,
440,300,10,5/6/1987,0.3,2.6,6.29E+04,0.05,1.22E+05,0.02,2.66E+05,0.05,6.66E+04,0.03,1.85E+05,0.02,1.27E+06,0.02,2.52E+05,1.63E+05,8.88E+04,51.07903381,20.0074416,,
441,300,12,29/05/1987,0.5,4.4,1.33E+05,0.04,2.74E+05,0.02,5.25E+05,0.05,8.14E+04,0.05,3.29E+05,0.02,2.23E+06,0.01,4.11E+05,3.52E+05,5.92E+04,51.03484057,18.00792992,,
442,300,14.7,2/6/1987,0.2,1.7,5.55E+04,0.05,1.07E+05,0.02,2.85E+05,0.04,7.77E+04,0.03,2.29E+05,0.02,1.14E+06,0.01,3.07E+05,2.18E+05,8.88E+04,50.9751797,15.30858915,,
443,300,17,5/6/1987,0.2,1.7,,,5.55E+04,0.06,1.89E+05,0.13,7.03E+04,0.06,1.92E+05,0.03,6.29E+05,0.05,2.63E+05,1.74E+05,8.88E+04,50.92435747,13.00915072,,
444,300,20,5/6/1987,0.15,1.3,7.40E+03,0.15,1.85E+04,0.06,7.40E+04,0.1,3.70E+04,0.04,9.62E+04,0.02,1.89E+05,0.04,1.33E+05,1.30E+05,3.70E+03,50.85806761,10.0098832,,
445,300,25,5/6/1987,0.4,3.5,,,3.70E+04,0.08,3.37E+05,0.1,3.11E+05,0.03,7.33E+05,0.02,3.40E+05,0.09,1.04E+06,5.44E+05,5.00E+05,50.74758452,5.011104002,,
446,300,30,5/6/1987,0.5,4.4,,,3.33E+04,0.09,4.59E+05,0.08,3.96E+05,0.02,8.88E+05,0.02,3.11E+05,0.1,1.28E+06,1.09E+06,1.92E+05,50.63710142,0.012324803,,
447,300,37.5,5/6/1987,0.3,2.6,,,1.85E+04,0.13,,,1.55E+05,0.04,3.77E+05,0.02,1.48E+05,0.16,5.33E+05,5.11E+05,2.22E+04,50.47137678,-7.485843996,,
448,300,45,5/6/1987,0.15,1.3,,,7.40E+03,0.19,1.30E+05,0.16,7.77E+04,0.06,1.81E+05,0.04,1.26E+05,0.17,2.59E+05,2.18E+05,4.07E+04,50.30565213,-14.9840128,,
449,300,52.5,5/6/1987,0.45,3.9,,,7.40E+03,0.11,1.07E+05,0.11,1.30E+05,0.03,3.29E+05,0.02,4.07E+04,0.19,4.59E+05,3.18E+05,1.41E+05,50.13992749,-22.48218159,,
450,300,60,5/6/1987,0.22,1.9,,,1.48E+04,0.09,1.22E+05,0.1,1.18E+05,0.03,3.07E+05,0.02,1.26E+05,0.08,4.26E+05,3.98E+05,2.74E+04,49.97420284,-29.98035039,,
451,310,5,5/6/1987,11,96,1.34E+06,0.06,3.17E+06,0.02,8.92E+06,0.05,1.61E+06,0.03,4.77E+06,0.02,3.13E+07,0.02,6.38E+06,6.25E+06,1.26E+05,48.67326181,34.25943844,,
452,310,6,21/05/1987,2.5,21.8,1.04E+05,0.02,2.15E+05,0.01,4.96E+05,0.02,8.51E+04,0.01,2.48E+05,0.01,1.83E+06,0.01,3.33E+05,3.33E+05,,48.14791417,35.11032613,,
453,310,7,22/05/1987,3,26.2,,,,,4.77E+05,0.03,9.99E+04,0.02,,,2.42E+06,0.01,9.99E+04,9.99E+04,,47.62256653,35.96121382,,
454,310,8.3,5/6/1987,2.5,21.8,5.37E+05,0.03,9.55E+05,0.01,2.89E+06,0.03,5.40E+05,0.02,1.55E+06,0.01,1.07E+07,0.01,2.09E+06,1.72E+06,3.70E+05,46.9396146,37.06736782,,
455,310,10,5/6/1987,2,17.5,4.03E+05,0.09,6.92E+05,0.04,2.58E+06,0.07,4.96E+05,0.05,1.31E+06,0.03,6.99E+06,0.04,1.80E+06,1.72E+06,8.51E+04,46.04652361,38.51387689,,
456,310,12,5/6/1987,1.8,15.7,4.07E+05,0.05,7.40E+05,0.02,2.34E+06,0.05,4.55E+05,0.04,1.26E+06,0.02,7.88E+06,0.02,1.71E+06,1.46E+06,2.52E+05,44.99582834,40.21565226,,
457,310,14.7,5/6/1987,0.6,5.2,5.55E+04,0.11,9.25E+04,0.05,5.59E+05,0.08,3.33E+05,0.03,8.88E+05,0.02,1.01E+06,0.04,1.22E+06,9.62E+05,2.59E+05,43.57738971,42.51304902,,
458,310,17,2/6/1987,0.6,5.2,4.44E+04,0.05,9.25E+04,0.02,3.26E+05,0.04,1.44E+05,0.02,3.77E+05,0.01,9.62E+05,0.02,5.22E+05,2.63E+05,2.59E+05,42.36909015,44.47009071,,
459,310,20,5/6/1987,0.6,5.2,4.44E+04,0.06,9.25E+04,0.03,4.33E+05,0.04,2.85E+05,0.01,7.84E+05,0.01,1.02E+06,0.02,1.07E+06,1.07E+06,,40.79304723,47.02275377,,
460,310,25,5/6/1987,0.4,3.5,7.03E+04,0.09,1.22E+05,0.04,6.51E+05,0.07,3.55E+05,0.03,9.03E+05,0.02,1.34E+06,0.03,1.26E+06,8.33E+05,4.26E+05,38.16630904,51.27719222,,
461,310,30,5/6/1987,0.4,3.5,6.29E+04,0.1,9.99E+04,0.05,7.07E+05,0.07,3.85E+05,0.02,9.88E+05,0.01,1.14E+06,0.04,1.37E+06,1.10E+06,2.70E+05,35.53957084,55.53163066,,
462,310,37.5,5/6/1987,0.35,3.1,,,5.18E+04,0.1,,,2.63E+05,0.04,6.62E+05,0.03,5.44E+05,0.08,9.25E+05,6.29E+05,2.96E+05,31.59946356,61.91328832,,
463,310,45,5/6/1987,0.12,1,,,,,,,1.11E+04,0.16,3.33E+04,0.09,4.44E+04,0.2,4.44E+04,8.51E+03,3.59E+04,27.65935627,68.29494599,,
464,310,52.5,5/6/1987,0.45,3.9,,,1.11E+04,0.1,1.11E+05,0.11,1.52E+05,0.02,4.18E+05,0.02,1.37E+05,0.08,5.70E+05,5.48E+05,2.22E+04,23.71924898,74.67660365,,
465,310,60,5/6/1987,0.5,4.4,,,3.70E+03,0.18,1.18E+05,0.1,2.00E+05,0.02,4.74E+05,0.02,9.62E+04,0.1,6.73E+05,6.48E+05,2.59E+04,19.77914169,81.05826132,,
466,320,5,4/6/1987,7.5,65.5,1.55E+06,0.05,3.49E+06,0.02,1.20E+07,0.03,1.78E+06,0.03,4.63E+06,0.02,3.34E+07,0.02,6.40E+06,6.30E+06,1.04E+05,55.81852556,27.86422286,,
467,320,6,4/6/1987,10,87.3,5.70E+05,0.04,1.11E+06,0.02,3.92E+06,0.04,6.59E+05,0.03,1.84E+06,0.02,1.25E+07,0.01,2.50E+06,2.44E+06,5.92E+04,56.72223067,27.43606743,,
468,320,7,4/6/1987,5,43.7,1.29E+06,0.05,2.51E+06,0.02,7.22E+06,0.04,1.09E+06,0.04,3.24E+06,0.02,2.40E+07,0.02,4.33E+06,3.85E+06,4.81E+05,57.62593578,27.007912,,
469,320,8.3,,,,,,,,,,,,,,,,,,,58.80075243,26.45130995,,
470,320,10,4/6/1987,2.5,21.8,6.96E+05,0.06,1.27E+06,0.03,3.81E+06,0.06,7.73E+05,0.04,1.81E+06,0.03,1.15E+07,0.03,2.58E+06,2.58E+06,,60.33705112,25.72344572,,
471,320,12,5/6/1987,2.5,21.8,1.74E+05,0.03,3.22E+05,0.01,1.14E+06,0.03,1.96E+05,0.02,4.44E+05,0.01,3.81E+06,0.01,6.40E+05,5.91E+05,4.96E+04,62.14446134,24.86713486,,
472,320,14.7,5/6/1987,2.2,19.2,1.52E+05,0.04,4.14E+05,0.01,1.03E+06,0.03,2.89E+05,0.02,9.62E+05,0.01,4.77E+06,0.01,1.25E+06,1.21E+06,4.44E+04,64.58446515,23.71111521,,
473,320,17,5/6/1987,4,34.9,3.96E+05,0.04,7.73E+05,0.02,2.72E+06,0.03,9.03E+05,0.02,2.34E+06,0.01,7.25E+06,0.01,3.24E+06,3.20E+06,4.44E+04,66.6629869,22.72635772,,
474,320,20,5/6/1987,1.5,13.1,8.88E+04,0.04,1.92E+05,0.02,6.29E+05,0.04,3.63E+05,0.01,9.25E+05,0.01,2.02E+06,0.01,1.29E+06,1.18E+06,1.04E+05,69.37410224,21.44189144,,
475,320,25,5/6/1987,1.3,11.3,3.33E+04,0.09,8.14E+04,0.03,4.51E+05,0.04,3.85E+05,0.01,1.11E+06,0.01,1.12E+06,0.02,1.49E+06,1.07E+06,4.29E+05,73.8926278,19.3011143,,
476,320,30,5/6/1987,0.8,7,3.33E+04,0.07,6.66E+04,0.03,3.96E+05,0.04,2.78E+05,0.01,7.07E+05,0.01,7.07E+05,0.03,9.84E+05,8.95E+05,8.88E+04,78.41115336,17.16033716,,
477,320,37.5,5/6/1987,0.12,1,1.48E+04,0.13,4.44E+04,0.05,1.89E+05,0.07,1.26E+05,0.03,3.00E+05,0.02,4.63E+05,0.03,4.26E+05,4.07E+05,1.85E+04,85.1889417,13.94917145,,
478,320,45,5/6/1987,0.25,2.2,1.85E+04,0.09,3.55E+04,0.04,1.67E+05,0.06,1.33E+05,0.02,3.37E+05,0.01,3.66E+05,0.03,4.70E+05,4.51E+05,1.85E+04,91.96673004,10.73800574,,
479,320,52.5,5/6/1987,0.75,6.5,,,1.85E+04,0.07,2.78E+05,0.05,3.48E+05,0.01,8.44E+05,0.01,2.07E+05,0.05,1.19E+06,1.15E+06,4.44E+04,98.74451838,7.526840026,,
480,320,60,5/6/1987,0.28,2.4,3.70E+03,0.22,1.11E+04,0.07,1.18E+05,0.08,1.74E+05,0.02,4.40E+05,0.01,1.18E+05,0.06,6.14E+05,5.92E+05,2.22E+04,105.5223067,4.315674315,,
481,330,5,4/6/1987,10,87.3,1.54E+06,0.05,3.19E+06,0.02,8.66E+06,0.04,1.85E+06,0.03,4.48E+06,0.02,3.16E+07,0.02,6.33E+06,5.34E+06,9.92E+05,46.34400589,29.34309185,,
482,330,6,5/6/1987,10,87.3,1.18E+06,0.05,2.38E+06,0.02,7.44E+06,0.04,1.38E+06,0.03,3.44E+06,0.02,2.63E+07,0.02,4.82E+06,3.80E+06,1.02E+06,45.35280707,29.21071022,,
